BANNING LIBRARY DISTRICT,"25,000 - 49,999",Riverside,Special District Library,"School District - Unified, overlap",Member of a Federation or Cooperative,School District,Inland Library System,Mr.,Kevin,,Lee,District Director,21 W. NICOLET ST.,BANNING,92220,4607,(951) 849-3192,(951) 849-3192,www.banninglibraryca.gov,306.00,"2,700","34,000",Annual Count,10.00,1.00,1.00,8.50,9.50,0,0.00,"$1,351,438","$19,790",$0,"$56,331","$1,427,559",$0,$0,$0,$0,$0,"$530,646","$119,529","$650,175","$23,246","$3,469","$26,715","$12,617","$5,381","$44,713","$298,521","$993,409","$298,521","15,984","2,516","46,198","1,871","3,876",Yes,16,Yes,8,138,"52,107",47,"975,322","593,538","69,951",5,24,29,"14,603","6,474",979,0,5,110,76,101,"7,323","3,370","7,142","10,512","21,926","17,835","32,438","12,640",Annual Count,No,$0.00,$0.00,$0.00,393,"3,617",258,"2,616",82,82,0,"1,308","1,308",0,176,176,0,"1,308","1,308",0,76,76,0,802,802,0,52,52,0,124,124,0,7,7,0,75,75,0,6,138,1,23,6,157,,Yes,"2,264",Annual Count,"16,547","19,837",Annual Estimate Based on Typical Week(s),38,Koha (Equinox)
BEAUMONT LIBRARY DISTRICT,"50,000 - 69,999",Riverside,Special District Library,"Place (e.g., incorporated city or village, censusdesignated), overlap",Member of a Federation or Cooperative,Library District,Inland Library System,Mr.,Luren,E.,Dickinson,Library Director,125 E. EIGHTH ST.,BEAUMONT,92223,2194,(951) 845-1357,(951) 845-1357,http://bld.lib.ca.us,60.00,"2,458","90,102",Annual Count,21.00,5.45,7.51,5.26,12.77,269,512.50,"$2,458,967","$69,458","$13,313","$95,633","$2,637,371",$0,"$2,424,375",$0,$0,"$2,424,375","$1,009,410","$338,838","$1,348,248","$87,335","$2,696","$90,031","$21,190","$16,192","$127,413","$399,852","$1,875,513",$0,"18,272","2,599","55,669",524,"6,366",Yes,56,Yes,27,50,"62,692",22,"833,107",627,,4,24,28,"117,426","68,138","2,834",0,0,123,202,635,"7,546","3,406","3,383","6,789","124,972","14,335","131,761","14,491",Annual Count,No,$0.00,$0.00,$0.00,745,"15,984",395,"10,356",317,317,0,"9,627","9,627",0,78,59,19,729,676,53,23,19,4,88,75,13,236,213,23,741,666,75,91,91,0,"4,799","4,799",0,8,"4,696",1,10,10,"1,782",Community outreach events such as Cherry Festival and Spring Fling. Reading Challenges such as Raising Canes and In & Out Cover to Cover.,Yes,"3,435",Annual Count,"42,475",-1,,6,Library Solution (TLC)
BELVEDERE-TIBURON LIBRARY,"0-24,999",Marin,Joint Powers Authority,"Multi-Place, entirety",Member of a Federation or Cooperative,Multi-jurisdictional,NorthNet Library System,Ms.,Crystal,,Duran,Director,1501 TIBURON BLVD,TIBURON,94920,2530,(415) 789-2665,(415) 789-2661,https://beltiblibrary.org,4.00,"2,563","202,138",Annual Count,20.00,8.41,8.89,4.57,13.46,35,"2,786.00","$3,217,788","$13,958","$49,925","$145,602","$3,427,273",$0,$0,$0,"$309,000","$309,000","$1,409,882","$465,123","$1,875,005","$83,186","$8,656","$91,842","$47,104","$15,254","$154,200","$1,036,932","$3,066,137","$1,624,532","19,269","3,475","44,195","3,715","3,640",Yes,14,Yes,4,40,"51,608","1,345","1,495,578","616,224","100,338",20,24,44,"84,996","46,735","2,320","31,913","15,663",30,7,0,"46,695","5,700","55,646","61,346","131,691","108,041","193,037","10,882",Annual Count,No,$0.00,$0.00,$0.00,489,"8,896",229,"6,186",110,110,0,"3,809","3,809",0,119,119,0,"2,377","2,377",0,79,79,0,683,683,0,119,119,0,"1,545","1,545",0,62,62,0,482,482,0,0,0,0,0,1,200,To-go activity kits for school-aged children.,No,"3,590",Annual Count,"248,300","9,108",Annual Count,4,Sierra (Innovative)
BENICIA PUBLIC LIBRARY,"25,000 - 49,999",Solano,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,Ms.,Jennifer,,Baker,Library Director,150 E. L ST.,BENICIA,94510,3281,(707) 746-4343,(707) 746-4343,https://www.benicialibrary.org,13.00,"3,049","122,621",Annual Count,63.00,6.60,6.60,14.35,20.94,151,"4,391.00","$2,657,811","$42,052","$31,104","$98,141","$2,829,108",$0,$0,$0,$0,$0,"$1,210,610","$554,014","$1,764,624","$84,724","$6,038","$90,762","$68,715","$28,792","$188,269","$599,277","$2,552,169",$0,"37,321","4,548","85,949","7,469","6,777",Yes,9,Yes,9,"2,022","102,235",133,"187,287","19,946",0,17,24,41,"202,631","110,154","1,628","62,218","43,166",44,97,946,"82,945","5,161","4,355","9,516","285,576","92,461","295,092","19,188",Annual Estimate Based on Typical Week(s),No,$0.00,$0.00,$0.00,748,"9,499",231,"3,883",112,112,0,"1,951","1,951",0,119,113,6,"1,932","1,892",40,91,85,6,"1,167","1,161",6,404,280,124,"4,237","2,906","1,331",22,22,0,212,212,0,4,348,12,"1,751",16,321,,No,"14,372",Annual Count,"97,805","20,794",Annual Count,13,Polaris (Innovative)
BERKELEY PUBLIC LIBRARY,"100,000 - 149,999",Alameda,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,Ms.,Tess,,Mayer,Director of Library Services,2090 KITTREDGE STREET,BERKELEY,94704,1427,(510) 981-6195,(510) 981-6148,http://www.berkeleypubliclibrary.org/,11.00,"12,075","618,074",Annual Estimate Based on Typical Week(s),144.00,34.90,34.90,71.22,106.12,2,116.00,"$24,069,854","$81,952",$0,"$205,279","$24,357,085",$0,$0,$0,$0,$0,"$9,280,277","$6,093,035","$15,373,312","$1,087,526","$44,725","$1,132,251","$1,294,150","$50,827","$2,477,228","$6,098,444","$23,948,984","$257,199","126,707","17,146","457,960","36,438","32,904",Yes,100,Yes,100,"5,284","532,786",,"915,120","304,336","68,478",31,20,51,"1,436,269","676,432","23,034","12,202","22,850","1,836","1,836","30,524","803,709","68,182","401,313","469,495","2,239,978","1,273,204","2,709,473","45,000",Annual Estimate Based on Typical Week(s),No,$0.00,$0.00,$0.00,"1,596","54,605",806,"35,259",397,396,1,"21,548","21,530",18,409,408,1,"13,711","13,695",16,246,243,3,"8,295","8,292",3,424,216,208,"5,883","2,989","2,894",120,119,1,"5,168","5,128",40,419,"24,362",2,43,16,820,"3 Zine Kits, 1 Bookmark Kits, 1 Black Cat Bookmarks, 1 Jelly Bean Kit, Fall Bingo Activity Card, Dia de los Muertos stickers, Watercolors, Coloring bookmarks, Rock and leaf painting, Snowflake Kits, 2 Cross-Stitch Kits, Manga March Madness, Paint Kits, Juneteenth craft kit ",No,"50,542",Annual Count,"1,005,981","258,104",Annual Count,112,CARLX (TLC)
BEVERLY HILLS PUBLIC LIBRARY,"25,000 - 49,999",Los Angeles,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,Ms.,Karen,-,Buth,City Librarian,444 N. REXFORD DR.,BEVERLY HILLS,90210,4877,(310) 288-2220,(310) 288-2244,http://www.bhpl.org,6.00,"4,325","376,766",Annual Count,75.00,15.36,15.36,50.28,65.64,55,583.00,"$13,546,047","$31,746",$0,"$229,460","$13,807,253","$309,133",$0,$0,$0,"$309,133","$3,970,580","$2,227,755","$6,198,335","$150,847","$23,571","$174,418","$273,867","$52,725","$501,010","$7,378,957","$14,078,302","$121,138","52,063","1,946","164,095","17,180","10,987",No,0,No,0,46,"192,308",,"908,133","596,858","60,668",51,23,74,"219,100","156,752","1,806","1,030",80,0,0,88,"38,947","17,286",-1,"17,286","258,047","56,233","275,333","66,169",Annual Count,No,,,,267,"7,052",145,"5,928",128,128,0,"5,077","5,077",0,17,17,0,851,851,0,8,8,0,207,207,0,114,109,5,917,765,152,0,0,0,0,0,0,8,931,35,"3,639",0,0,,Yes,"20,238",Annual Count,"73,627",-1,,60,Sierra (Innovative)
BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT,"25,000 - 49,999",Ventura,Special District Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,Library District,Black Gold Cooperative Library System,Mr.,Justin,,Formanek,Library Director,119 N. EIGHTH ST.,SANTA PAULA,93060,2709,(805) 525-3615,(805) 525-3615,http://www.blanchardlibrary.org,108.00,"1,800","70,788",Annual Count,16.00,1.47,2.52,5.48,8.00,15,"1,315.00","$1,032,114","$99,419",$0,"$61,266","$1,192,799",$0,"$343,124",$0,$0,"$343,124","$516,599","$182,066","$698,665","$45,015","$3,743","$48,758","$11,971","$17,351","$78,080","$262,976","$1,039,721","$3,672","22,089","3,043","58,824",612,"3,675",Yes,32,Yes,32,282,"63,457",45,"189,987","20,135",528,1,23,24,"70,566","48,273","4,222","11,851","2,838",149,268,45,"15,046","9,280",582,"9,862","85,612","24,908","95,474",520,Annual Estimate Based on Typical Week(s),No,$0.00,$0.00,$0.00,379,"6,668",281,"6,077",52,52,0,"1,490","1,490",0,229,229,0,"4,587","4,587",0,7,7,0,14,14,0,90,90,0,575,575,0,1,1,0,2,2,0,0,0,0,0,12,"2,426","Passive programs, crafts and take and make kits.",Yes,"2,642",Annual Count,-1,-1,,33,Koha (Equinox)
BRAWLEY PUBLIC LIBRARY,"25,000 - 49,999",Imperial,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,Ms.,Petra,Itzel,Ortega,Library Manager,400 MAIN ST.,BRAWLEY,92227,2491,(760) 344-1891,(760) 344-1891,brawley-ca.gov/section/Library,5.00,"1,305","8,641",Annual Estimate Based on Typical Week(s),7.00,0.00,1.00,3.99,4.99,10,60.00,"$444,602","$52,928",$0,$0,"$497,530",$0,$0,$0,$0,$0,"$226,000","$91,284","$317,284","$21,335",$0,"$21,335","$7,000",$0,"$28,335","$50,641","$396,260",$0,"19,461","2,098","43,976","2,595",423,Yes,12,No,0,164,"47,170",0,"216,616","18,901",0,0,24,24,-1,"2,305",520,0,0,0,0,393,"1,293",522,-1,522,,"1,815","1,815",451,Annual Estimate Based on Typical Week(s),Yes,$0.10,$0.10,$0.05,180,906,96,474,48,48,0,237,237,0,48,48,0,237,237,0,24,24,0,61,61,0,48,48,0,321,321,0,12,12,0,50,50,0,0,0,0,0,24,150,Each kit contains a full arts and crafts activity with instructions. Parents and children can request the kits at the circulation desk.,Yes,"1,599",Annual Count,-1,-1,,18,Apollo (Biblionix)
BUENA PARK LIBRARY DISTRICT,"70,000 - 99,999",Orange,Special District Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,Library District,Santiago,Ms.,Helen,,Medina,Director,7150 LA PALMA AVE.,BUENA PARK,90620,2547,(714) 826-4100,(714) 826-4100,http://www.buenaparklibrary.org/,12.00,"2,447","140,825",Annual Count,42.00,4.53,4.53,20.19,24.72,140,"1,704.00","$2,275,404","$294,190",$0,"$2,323,027","$4,892,621",$0,$0,$0,$0,$0,"$1,684,459","$440,017","$2,124,476","$62,306","$5,391","$67,697","$72,038","$20,093","$159,828","$1,697,516","$3,981,820","$1,040,240","39,404","4,958","97,149","6,072","7,802",No,0,Yes,48,95,"111,166",,"167,735","6,931","3,205",8,21,29,"195,037","120,784","19,176",0,0,0,451,478,"22,872","8,157","2,645","10,802","217,909","33,674","228,711","32,826",Annual Count,No,,,,304,"13,002",240,"10,629",133,129,4,"5,840","5,815",25,107,106,1,"4,789","4,780",9,26,26,0,204,204,0,28,25,3,414,341,73,10,10,0,"1,755","1,755",0,33,541,0,0,110,"16,159","DIY Craft Kits, Beanstack Reading Challenges, Teen Contests (Photo & Literary magazine)",No,"16,022",Annual Count,"104,223","37,665",Annual Count,15,Polaris (Innovative)
BURBANK PUBLIC LIBRARY,"100,000 - 149,999",Los Angeles,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,Ms.,Elizabeth,,Goldman,Library Services Director,110 N. GLENOAKS BLVD.,BURBANK,91502,1203,(818) 238-5551,(818) 238-5580,http://www.BurbankLibrary.org,17.00,"7,728","447,323",Annual Count,87.00,24.24,24.24,41.25,65.49,98,"5,768.00","$8,564,649","$33,362","$250,000","$55,028","$8,903,039","$1,270,000",$0,$0,$0,"$1,270,000","$3,994,411","$1,964,241","$5,958,652","$205,820","$16,135","$221,955","$169,434","$35,762","$427,151","$1,461,923","$7,847,726","$708,841","108,109","16,197","266,430","21,817","42,596",Yes,10,No,0,251,"331,104",170,"11,078","9,911","5,943",16,24,40,"625,934","334,805","16,206",77,40,9,0,"1,379","99,708","24,595","100,741","125,336","725,642","225,044","850,978","54,984",Annual Estimate Based on Typical Week(s),No,$0.00,$0.00,$0.00,452,"15,947",203,"12,566",96,96,0,"8,249","8,249",0,107,107,0,"4,317","4,317",0,61,61,0,754,754,0,188,156,32,"2,627","2,156",471,0,0,0,0,0,0,19,587,6,"1,403",1,42,"""Where does your library card take you?"" marketing activity and contest",No,"46,274",Annual Count,"349,737","17,213",Annual Count,85,Symphony (SirsiDynix)
